0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,Madrid/Barajas,Barcelona/El Prat,[,d,],"3,102,436","2,550,462","2,213,200","2,204,765","2,253,387","2,328,726","2,341,255","2,466,968","2,572,893"
2,Frankfurt,Berlin/Tegel,"1,792,655","1,813,063","1,845,600","1,792,006","1,907,218","1,935,465","1,956,128","2,292,098","2,249,667",,,
3,Toulouse/Blagnac,Paris/Orly,"2,322,456","2,330,224","2,379,100","2,330,949","2,318,015","2,358,917","2,325,043","2,282,407","2,217,892",,,
4,Barcelona/El Prat,Palma de Mallorca,"1,639,423","1,460,684","1,388,900","1,410,172","1,576,063","1,772,613","1,944,554","2,035,602","2,173,939",,,
5,Oslo/Gardermoen,Trondheim,"1,749,545","1,818,877","1,873,944","1,912,141","1,942,959","1,988,105","2,089,889","2,151,448","2,106,440",,,
6,Nice,Paris/Orly,"2,236,436","2,175,773","2,160,300","2,072,138","2,113,506","2,124,792","2,217,895","2,135,634","2,052,649",,,
7,Oslo/Gardermoen,Bergen,"1,691,887","1,729,076","1,722,398","1,819,279","1,810,826","1,881,960","1,985,088","2,028,680","2,003,406",,,
8,Madrid/Barajas,Palma de Mallorca,"1,604,853","1,442,410","1,224,700","1,283,404","1,411,314","1,687,547","1,815,387","1,967,136","1,995,104",,,
9,Berlin/Tegel,Munich,"1,667,408","1,731,145","1,831,700","1,868,877","1,974,929","1,939,820","1,973,008","1,988,248","1,933,817",,,
10,London/Heathrow,Dublin,"1,556,111","1,577,649","1,663,900","1,650,394","1,682,855","1,751,689","1,803,479","1,809,140","1,855,333",,,
11,Catania/Fontanarossa,Rome/Fiumicino,"1,842,940","1,694,400","1,566,800","1,869,881","1,979,648","2,054,721","2,017,172","1,976,230",[,22,],"1,824,428"
12,Amsterdam/Schiphol,London/Heathrow,"1,406,964","1,429,800","1,443,400","1,486,783","1,587,605","1,617,170","1,689,924","1,746,940","1,747,789",,,
13,Munich,Hamburg,"1,717,734","1,719,351","1,713,200","1,756,990","1,811,425","1,805,211","1,739,252","1,749,616","1,739,939",,,
14,Oslo/Gardermoen,Stavanger,"1,434,043","1,517,195","1,536,032","1,564,631","1,515,870","1,564,127","1,600,959","1,675,486","1,681,335",,,
15,Madrid/Barajas,Gran Canaria,"1,438,377","1,301,539","1,152,669","1,181,442","1,305,670","1,508,972","1,510,429","1,616,540","1,659,106",,,
16,London/Gatwick,Barcelona/El Prat,"517,820","741,735","1,131,350","1,273,850","1,354,193","1,362,488","1,460,378","1,556,045","1,586,967",,,
17,Rome/Fiumicino,Palermo/Falcone Borsellino,"1,499,933","1,360,400","1,264,100","1,475,957","1,481,174","1,543,462","1,589,733","1,663,463",[,22,],"1,579,946"
18,Madrid/Barajas,Lisbon,"1,169,714","1,108,931","975,389","1,026,786","1,174,116","1,299,412","1,427,929","1,517,620","1,557,398",,,
19,London/Heathrow,Frankfurt,"1,459,909","1,482,649","1,488,600","1,506,826","1,530,986","1,486,291","1,495,472","1,552,249","1,548,995",,,
20,Palma de Mallorca,Düsseldorf,"944,437","985,749","1,090,227","1,162,268","1,201,664","1,268,891","1,267,676","1,495,826","1,544,710",,,
21,Madrid/Barajas,Tenerife North,"1,337,050","1,167,731","1,102,701","1,094,815","1,149,450","1,305,110","1,380,916","1,487,326","1,493,755",,,
22,Munich,Düsseldorf,"1,569,364","1,553,361","1,558,200","1,527,416","1,557,442","1,565,997","1,554,184","1,422,773","1,488,322",,,
23,Copenhagen,Oslo/Gardermoen,"1,206,480","1,291,018","1,322,948","1,402,753","1,427,618","1,506,326","1,544,534","1,509,030","1,479,320",,,
24,London/Heathrow,Madrid/Barajas,"1,093,400","1,197,700","1,264,800","1,274,714","1,320,834","1,317,511","1,382,290","1,416,795","1,476,551",,,
25,Frankfurt,Hamburg,"1,587,593","1,385,867","1,362,400","1,343,857","1,361,027","1,372,185","1,395,408","1,440,312","1,426,073",,,
26,Barcelona/El Prat,Rome/Fiumicino,"1,184,506","1,315,868","1,225,834","1,332,401","1,402,757",,,,,,,
27,Stockholm/Arlanda,Copenhagen,"1,166,000","1,269,200","1,325,700","1,444,429","1,461,166","1,553,276","1,520,287","1,520,873","1,387,544",,,
28,Barcelona/El Prat,Amsterdam/Schiphol,"1,321,528","1,250,126","1,186,808","1,217,977","1,204,814","1,307,902","1,363,626","1,420,246","1,384,848",,,
29,Stockholm/Arlanda,Oslo/Gardermoen,"1,153,232","1,187,164","1,204,351","1,354,730","1,338,163","1,387,885","1,406,211","1,453,105","1,379,312",,,
30,Barcelona/El Prat,Paris/CDG,"1,279,331","1,373,128",,,,,,,,,,
