0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,Jeju (CJU),Seoul (GMP),"71,388",Air Busan,",",Air Seoul,",",Hi Air,",",Jeju Air,",",Jin Air,",",Korean Air,",",T'way Air,,,,,,,,
2,Seoul (GMP),Busan (PUS),"28,809",Air Busan,",",Air Seoul,",",Jeju Air,",",Jin Air,",",Korean Air,",",T'way Air,,,,,,,,,,
3,Jeddah (JED),Riyadh (RUH),"24,879",Flyadeal,",",Flynas,",",Saudia,,,,,,,,,,,,,,,,
4,Fukuoka (FUK),Tokyo (HND),"23,079",All Nippon Airways,",",Japan Airlines,",",Skymark Airlines,",",StarFlyer,,,,,,,,,,,,,,
5,Sapporo (CTS),Tokyo (HND),"21,851",Air Do,",",All Nippon Airways,",",Japan Airlines,",",Skymark Airlines,,,,,,,,,,,,,,
6,Mexico City (MEX),Cancún (CUN),"21,352",Aeroméxico,",",Aeroméxico Connect,",",Magnicharters,",",VivaAerobús,",",Volaris,,,,,,,,,,,,
7,Shanghai (SHA),Shenzhen (SZX),"19,945",China Eastern Airlines,",",China Southern Airlines,",",Juneyao Air,",",Shanghai Airlines,",",Shenzhen Airlines,",",Spring Airlines,",",XiamenAir,,,,,,,,
8,Beijing (PEK),Shanghai (SHA),"18,624",Air China,",",China Eastern Airlines,",",Hainan Airlines,",",OTT Airlines,",",Shanghai Airlines,,,,,,,,,,,,
9,Hanoi (HAN),Ho Chi Minh City (SGN),"18,342",Bamboo Airways,",",Pacific Airlines,",",VietJet Air,",",Vietnam Airlines,",",Vietravel Airlines,,,,,,,,,,,,
10,Bogotá (BOG),Rionegro (MDE),"18,086",Avianca,",",LATAM,",",Ultra Air,",",Viva Air,",",Wingo,,,,,,,,,,,,
11,Guangzhou (CAN),Shanghai (SHA),"18,066",Air China,",",China Eastern Airlines,",",China Southern Airlines,",",Hainan Airlines,",",Juneyao Airlines,",",Shanghai Airlines,",",Shenzhen Airlines,",",Spring Airlines,,,,,,
12,Jeju (CJU),Busan (PUS),"17,630",Air Busan,",",Jeju Air,",",Jin Air,",",Korean Air,",",T'way Air,,,,,,,,,,,,
13,Mumbai (BOM),Delhi (DEL),"17,069",AirAsia India,",",Air India,",",Go First,",",IndiGo,",",SpiceJet,",",Vistara,,,,,,,,,,
14,Los Angeles (LAX),San Francisco (SFO),"15,828",Alaska Airlines,",",American Airlines,",",American Eagle,",",Delta Air Lines,",",Delta Connection,",",JetBlue,",",Southwest Airlines,",",United Airlines,,,,,,
15,Okinawa (OKA),Tokyo (HND),"15,687",All Nippon Airways,",",Japan Airlines,",",Skymark Airlines,",",Solaseed Air,,,,,,,,,,,,,,
16,Cape Town (CPT),Johannesburg (JNB),"15,208",Airlink,",",CemAir,",",FlySafair,",",LIFT Airline,",",South African Airways,,,,,,,,,,,,
17,Chengdu (CTU),Beijing (PEK),"15,180",Air China,",",Hainan Airlines,",",Shenzhen Airlines,,,,,,,,,,,,,,,,
18,Los Angeles (LAX),Las Vegas (LAS),"15,026",Alaska Airlines,",",Allegiant Air,",",American Airlines,",",Delta Air Lines,",",JetBlue,",",JSX,",",Southwest Airlines,",",Spirit Airlines,",",Sun Country Airlines,",",United Express,",",United Airlines
19,Chengdu (CTU),Guangzhou (CAN),"14,746",Beijing Capital Airlines,",",Chengdu Airlines,",",China Eastern Airlines,",",China Southern Airlines,",",Hainan Airlines,",",Shenzhen Airlines,",",Sichuan Airlines,,,,,,,,
20,Bogotá (BOG),Cali (CLO),"14,604",Avianca,",",LATAM,",",Ultra Air,",",Viva Air,",",Wingo,,,,,,,,,,,,
